"filename", "language", "JavaScript", "Markdown", "XML", "JSON", "JSON with Comments", "JavaScript JSX", "CSS", "comment", "blank", "total"
"h:\Client Projects\faith-import-trade\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"h:\Client Projects\faith-import-trade\app\about\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"h:\Client Projects\faith-import-trade\app\api\contact.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"h:\Client Projects\faith-import-trade\app\contact\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"h:\Client Projects\faith-import-trade\app\gallery\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"h:\Client Projects\faith-import-trade\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 274, 21, 51, 346
"h:\Client Projects\faith-import-trade\app\layout.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"h:\Client Projects\faith-import-trade\app\page.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"h:\Client Projects\faith-import-trade\app\services\computer\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 4, 52
"h:\Client Projects\faith-import-trade\app\services\maintenance\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"h:\Client Projects\faith-import-trade\app\services\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"h:\Client Projects\faith-import-trade\app\services\stationary\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"h:\Client Projects\faith-import-trade\components\About\AboutCards.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 237, 0, 0, 2, 239
"h:\Client Projects\faith-import-trade\components\About\AboutCustomers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"h:\Client Projects\faith-import-trade\components\About\AboutDescription.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 55, 0, 8, 6, 69
"h:\Client Projects\faith-import-trade\components\About\AboutSectionTitle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"h:\Client Projects\faith-import-trade\components\About\Manifesto.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 335, 0, 0, 2, 337
"h:\Client Projects\faith-import-trade\components\About\Slogan.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 2, 133
"h:\Client Projects\faith-import-trade\components\Brands\BrandsData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 77, 0, 0, 1, 78
"h:\Client Projects\faith-import-trade\components\Brands\BrandsSlider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 6, 71
"h:\Client Projects\faith-import-trade\components\Common\Breadcrumb.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 3, 36
